id_str,text
"530699063604563968","@ShawnMendes http://t.co/ftms4gpiDB
IS AVAILABLE ON ITUNES.✨

Please follow me?🙏

I love you and your New song.💕

#SomethingBigToNumber1
X26"
"530699063470354432","BUY 'SOMETHING BIG' ON ITUNES GET IT TO #1!!! http://t.co/ecpuS3XIlZ  PLEASE FOLLOW ME #SomethingBigToNumber1 @ShawnMendes x41"
"530699825965445122","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530699825445355520","🎸🎶🎸🎶🎸🎶🎸🎶
@ShawnMendes 
#SomethingBigToNumber1 
GO DOWNLOAD AND SHARE WITH
ALL YOUR FRIENDS: http://t.co/Gc5izH0cMm 
🎸🎶🎸🎶🎸🎶🎸🎶x15"
"530699825223057408","RT @ShawnMendes: Post your best Vines with #SomethingBigToNumber1 with the iTunes link and I'll repost some ! 😍 http://t.co/IVJT5qUf4V http…"
"530699824631652353","Swype Keyboard for iOS is free for a week. Does not require full access. 

iTunes: https://t.co/a9gn1zH9WE

Info: http://t.co/Y0uxNGK0ex"
"530699823389741056","RT @AppIeOfficiel: Apple GLASS - the future is here 📱  http://t.co/d2vCOCOTqt"
"530699822740025345","RT @Kzoya_xx: I wanna go back to the big apple 🍎"
"530699822685519872","@ShawnMendes http://t.co/ftms4gpiDB
IS AVAILABLE ON ITUNES.✨

Please follow me?🙏

I love you and your New song.💕

#SomethingBigToNumber1
X60"
"530699822332784640","RT @onedirection: The #FOURTAKEOVER unlocked #ReadyToRun! If you’ve pre-ordered the deluxe album on @iTunesMusic then get it now! http://t.…"
"530699821263618048","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530699820533809152","inspiring others around me with your music ❤️❤️ #SomethingBigOnElvis @ShawnMendes http://t.co/q9y22ij9ww http://t.co/qCOUcvtbKz"
"530699819485249536","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530699818629595136","@ShawnMendes BEST SONG EVER🙌 YOU WONT REGRET BUYING IT💓 http://t.co/MfO2Bl3fPT #SomethingBigToNumberOne #SomethingBigToNumber1 x549"
"530699817958535170","RT @iTunesMusic: ""Ready to Run.""
New from @onedirection.
Pre-order the FOUR deluxe edition &amp; get it now.
http://t.co/izqJQPlCa1 http://t.co…"
"530699817945939968","#SomethingBigToNumber1 WE DID IT ONCE WITH LOTP SO WE CAN DO IT AGAIN SPREAD THE WORD GUYS GET IT HERE : https://t.co/aXGGCsXVRY 38"
"530699817689694208","@please buy @ShawnMendes's new song!!!
http://t.co/XaedGi8PGx  
👼💭💿👽🌿💎💸
love you shawn 
#SomethingBigToNumber1
x3"
"530700583507079168","RT @JacobWhitesides: In exactly 25 minutes we are all gonna gift someone words including me so get ready if you're real https://t.co/g9rjl2…"
"530700583138000897","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530700583012163584","RT @iTunesMusic: ""Ready to Run.""
New from @onedirection.
Pre-order the FOUR deluxe edition &amp; get it now.
http://t.co/izqJQPlCa1 http://t.co…"
"530700582697189376","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530700582487875584","RT @Nashgrier: Make sure to get @ShawnMendes new single!- http://t.co/g76beP6HmF let's get it to #1 ! Congrats man! Amazing music! #Somethi…"
"530700581942616065","Google tsipras No more heeding rival devices to apple"
"530700581912866818","RT @AppIeOfficiel: Apple GLASS - the future is here 📱  http://t.co/d2vCOCOTqt"
"530700581611249664","Finding you discounted local days out! Download our IPhone App http://t.co/PooDyAUgAD #BigDays"
"530700581250547712","GO DOWLOAD SOMETHING BIG ON ITUNES NOW👈👈 http://t.co/tgYROOl6E6 #SomethingBigToNumber1 💥IM SO PROUD OF YOU @ShawnMendes Te amo💖 74"
"530700580894044160","RT @ShawnMendes: We're #7 on iTunes ! 🙆 #SomethingBigOnElvis song is playing live on air now ! http://t.co/p7YQYwmTbq keep downloading http…"
"530700580462030848","Here's a great quote by J. D. Salinger! http://t.co/TabQ2PG5Yg http://t.co/cjITEUAG98"
"530700580335792128","@nimfasapa @peniero74 KIMXI  ALL OF ME*** BABS And BELLE In PAST TENSE"
"530700580163821572","“@MichelleBlanc: Double trouble for #Apple, as two software security flaws discovered http://t.co/Uky4vBBfn6 via @guardian”"
"530700580050567168","A Pot and A Prayer - Salted Caramel Apple Pie Empanaditas http://t.co/Wos1fHzPGP #apotandaprayer #applepie #apples"
"530700579593805824","Welcome Cowboy Smurf to Smurfs Village! Ride unicorns and more!  #SmurfsVillage. http://t.co/WAAsWQznbR @BeelineGames"
"530701338859286528","RT @ShawnMendes: We're #7 on iTunes ! 🙆 #SomethingBigOnElvis song is playing live on air now ! http://t.co/p7YQYwmTbq keep downloading http…"
"530701338280464384","Check out this cool episode: https://t.co/n3lmmqLxeU http://t.co/ypNs8ZAtwv"
"530701338020413440","RT @camerondallas: Keep rating @ShawnMendes NEW SONG ☺️☺ http://t.co/lVKCwF8PY1 tweet #SomethingBigToNumber1 when you're done (: I'll follo…"
"530701338011652096","RT @iTunesMusic: ""Ready to Run.""
New from @onedirection.
Pre-order the FOUR deluxe edition &amp; get it now.
http://t.co/izqJQPlCa1 http://t.co…"
"530701337676488706","#Farm4Good, RETWEET &amp; play @FarmVille2 to help raise $ for charity w/@NakedJuice http://t.co/DdmkxZosOs http://t.co/gOYfFdiQHS"
"530701337668104192","RT @JacobWhitesides: 20 minutes #WordsOniTunesTonight we are gonna push it hard https://t.co/g9rjl2mLvW"
"530701337332154368","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530701335734538240","RT @onedirection: The #FOURTAKEOVER unlocked #ReadyToRun! If you’ve pre-ordered the deluxe album on @iTunesMusic then get it now! http://t.…"
"530701333142446080","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530701332374896640","Play @FarmVille2 to help @WholesomeWave charity #Farm4Good w/ @NakedJuice! DL: http://t.co/RPU0hY4c6Y http://t.co/wAghVQfVu8"
"530701331821260801","“@onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/1s4Mv2yQtU” ITS AMAZING! #emabiggestfans1d #vote5sos"
"530701331657682944","Cybersecurity Firm IDs New Apple-Targeting Malware - ABC News, http://t.co/3sDrDoGLn3 #security"
"530701331510886400","RT @JacobWhitesides: LETS GO GIFT IT TO A FRIEND AND TWEET OUT THE HASHTAG #WordsOniTunesTonight https://t.co/g9rjl2mLvW I love you all 😊"
"530701331481505793","RT @ShawnMendes: We're #7 on iTunes ! 🙆 #SomethingBigOnElvis song is playing live on air now ! http://t.co/p7YQYwmTbq keep downloading http…"
"530701330814631937","RT @ShawnMendes: At #14 now guys ! Lets keep this going up the charts, gift it with all your friends ! #SomethingBigToNumber1 - http://t.co…"
"530702095242899457","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530702095024812032","RT @TheVampsband: If you haven't already please support our brother from another mother @ShawnMendes #SomethingBigToNumber1 
http://t.co/Ou…"
"530702094937112576","RT @raybandallas: Go rate @ShawnMendes new song 5 STARS! #SomethingBigToNumber1 http://t.co/kQhyVBRXVh"
"530702094567620610","Apple rumored to stop using problematic TLC NANDs in iPhone 6 and iPhone 6 Plus: A couple of days ago, reports... http://t.co/K4iObdy27V"
"530702094177947648","RT @JacobWhitesides: HI #WordsOniTunesTonight 99cents https://t.co/g9rjl2mLvW LETS DO THIS RETWEET PLEASE"
"530702093817241600","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530702093515251712","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530702093468721154","RT @ShawnMendes: We're #7 on iTunes ! 🙆 #SomethingBigOnElvis song is playing live on air now ! http://t.co/p7YQYwmTbq keep downloading http…"
"530702093456539649","RT @carterreynolds: Everyone go download @ShawnMendes new song Something Big! http://t.co/UzrsuRmIdi #SomethingBigToNumber1"
"530702093275783168","#VOZEMPIRE: Check Out Dbanj’s Customized Apple Beats By Dre Gold Edition | PHOTO http://t.co/6t2sXCcPci | ff @VozEmpire"
"530702093049679872","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530702092974182401","RT @dinahjane97: When bae says ""you my cinnamon apple 🍎"" I be like ""aww you my KUUIPO 💙"" http://t.co/r7Nx5Gi5Il"
"530702092327862272","Apple neuters iOS WireLurker trojan, researchers find a Windows version http://t.co/8f5bv7sF5p #security"
"530702091678121984","RT @JackJackJohnson: WE BETTER GET IT TO #1!!! #SomethingBigToNumber1 http://t.co/ZJt8z4LMAM"
"530702091443257344","@Its_Hoe_K apple"
"530702852185133056","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530702852122234880","RT @JacobWhitesides: Okay for real have a good day at school, make sure you share words with at least one friend https://t.co/aeraZwFG0V I'…"
"530702850889109504","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530702850792628224","http://t.co/W98dnrl7Xe             COME ON!💙💪👏#SomethingBigToNumber1 #SomethingBigToNumber1  
My baby @ShawnMendes💕so proud of you😭😭136"
"530702850246979584","RT @AppIeOfficiel: Apple GLASS - the future is here 📱  http://t.co/d2vCOCOTqt"
"530702848380911616","#SomethingBigToNumber1 WE DID IT ONCE WITH LOTP SO WE CAN DO IT AGAIN  GET IT HERE : https://t.co/aXGGCsXVRY #SomethingBigOnElvis  90"
"530702847894360064","Each RETWEET sends $1 to @WholesomeWave charity! #Farm4Good by playing @Farmville2 http://t.co/CnKk3m8P4e http://t.co/LqNKPOdCh7"
"530702847865024512","GO DOWLOAD SOMETHING BIG ON ITUNES NOW👈👈 http://t.co/tgYROOl6E6 #SomethingBigToNumber1 💥IM SO PROUD OF YOU @ShawnMendes Te amo💖 131"
"530702846879350784","Free Surf Session | NEW ZEALAND | MATEIA HIQUILY
http://t.co/gILB025kK8
#TUBED #Sports
#surf #Bodyboarding http://t.co/01J4NcKkmN"
"530702845956591617","goin 2da nycshow dont have VIP bc sold out b4 it even turned 5 so plz  #SomethingBigToNumber1 http://t.co/jooGjnzuvu http://t.co/UnJydKPY9b🐺"
"530702845348421632","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
